                                                                                                                                                                                                                                                                            28 Jan 2026 18:20:01
SatelliteCollection-constellation


RowNumber          Name               Epoch (UTCG)          Ephemeris Start Time (UTCG)    Ephemeris Stop Time (UTCG)     ID    Shell    Plane    Slot    Altitude (km)    SemimajorAxis (km)    Eccentricity    Inclination (deg)    ArgumentOfPerigee (deg)    RAAN (deg)    TrueAnomaly (deg)
       92    Shell_1_P05_S12    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     91    1        05       12         949.863000           7328.000000        0.000000               62.900                      0.000       327.500              270.000
       93    Shell_1_P05_S13    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     92    1        05       13         949.863000           7328.000000        0.000000               62.900                      0.000       327.500              288.000
       94    Shell_1_P05_S14    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     93    1        05       14         949.863000           7328.000000        0.000000               62.900                      0.000       327.500              306.000
       95    Shell_1_P05_S15    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     94    1        05       15         949.863000           7328.000000        0.000000               62.900                      0.000       327.500              324.000
       96    Shell_1_P05_S16    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     95    1        05       16         949.863000           7328.000000        0.000000               62.900                      0.000       327.500              342.000
       97    Shell_1_P05_S17    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     96    1        05       17         949.863000           7328.000000        0.000000               62.900                      0.000       327.500              360.000
       98    Shell_1_P05_S18    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     97    1        05       18         949.863000           7328.000000        0.000000               62.900                      0.000       327.500              378.000
       99    Shell_1_P05_S19    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     98    1        05       19         949.863000           7328.000000        0.000000               62.900                      0.000       327.500              396.000
      100    Shell_1_P05_S20    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000     99    1        05       20         949.863000           7328.000000        0.000000               62.900                      0.000       327.500              414.000
      101    Shell_1_P06_S01    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000    100    1        06       1          949.863000           7328.000000        0.000000               62.900                      0.000       363.500               90.000
      102    Shell_1_P06_S02    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000    101    1        06       2          949.863000           7328.000000        0.000000               62.900                      0.000       363.500              108.000
      103    Shell_1_P06_S03    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000    102    1        06       3          949.863000           7328.000000        0.000000               62.900                      0.000       363.500              126.000
      104    Shell_1_P06_S04    28 Jan 2026 06:30:00.000       28 Jan 2026 06:30:00.000      29 Jan 2026 06:30:00.000    103    1        06       4          949.863000           7328.000000        0.000000               62.900                      0.000       363.500              144.000
